tweet,created_at,tokens
apes dedi mulyadi adu mulut warga sekian citra sbg goodman musnah saat,Fri May 16 02:23:49 +0000 2025,"['apes', 'dedi', 'mulyadi', 'adu', 'mulut', 'warga', 'sekian', 'citra', 'sbg', 'goodman', 'musnah', 'saat']"
dedi mulyadi harga beras ribut dunia serasa kiamat harga skincare diam,Thu Feb 29 03:01:31 +0000 2024,"['dedi', 'mulyadi', 'harga', 'beras', 'ribut', 'dunia', 'serasa', 'kiamat', 'harga', 'skincare', 'diam']"
dedi mulyadi beras skincare,Wed Feb 28 12:30:07 +0000 2024,"['dedi', 'mulyadi', 'beras', 'skincare']"
dedi mulyadi jakarta duduk bawah juta apbdnya t jakarta juta juta kepala keluarga orang jakarta gaji kepala keluarga juta juta kali juta t gubernur,Sat May 10 01:00:02 +0000 2025,"['dedi', 'mulyadi', 'jakarta', 'duduk', 'bawah', 'juta', 'apbdnya', 't', 'jakarta', 'juta', 'juta', 'kepala', 'keluarga', 'orang', 'jakarta', 'gaji', 'kepala', 'keluarga', 'juta', 'juta', 'kali', 'juta', 't', 'gubernur']"
halo kang dedi mulyadi barak main bola balas gpl,Wed May 21 12:31:24 +0000 2025,"['halo', 'kang', 'dedi', 'mulyadi', 'barak', 'main', 'bola', 'balas', 'gpl']"
komisi lindung anak indonesia kpai ungkap praktik intimidatif laksana program didik karakter bas barak militer besut gubernur jawa barat dedi mulyadi tempoheadliner,Fri May 16 07:48:57 +0000 2025,"['komisi', 'lindung', 'anak', 'indonesia', 'kpai', 'ungkap', 'praktik', 'intimidatif', 'laksana', 'program', 'didik', 'karakter', 'bas', 'barak', 'militer', 'besut', 'gubernur', 'jawa', 'barat', 'dedi', 'mulyadi', 'tempoheadliner']"
kirim kang dedi mulyadi barak,Wed Apr 30 09:33:58 +0000 2025,"['kirim', 'kang', 'dedi', 'mulyadi', 'barak']"
kang dedi mulyadi nih syuting signal season cr tto,Tue May 13 01:30:58 +0000 2025,"['kang', 'dedi', 'mulyadi', 'nih', 'syuting', 'signal', 'season', 'cr', 'tto']"
kang dedi mulyadi hospital playlist x resident playbook cewek yulje kejar,Wed May 21 15:02:52 +0000 2025,"['kang', 'dedi', 'mulyadi', 'hospital', 'playlist', 'x', 'resident', 'playbook', 'cewek', 'yulje', 'kejar']"
kang dedi tolong bawa dontol barak militer kang dedi nyebelin,Thu May 15 02:06:42 +0000 2025,"['kang', 'dedi', 'tolong', 'bawa', 'dontol', 'barak', 'militer', 'kang', 'dedi', 'nyebelin']"
